PropertyOrGLLossesInLast3Years,LeadOrMoldIssues,TranBackDt,OccupancyTypeCat,ConstructionTypeCat,TotalSquareFeet,CommercialSquareFeet,YearBuilt,NumberOfStories,PercentageOccupied,AnyBuildingViolations,Mercantile,RenovationGutRehabEverDone,BuildingLimit,RentLimit,OnboardResp
0,0,0,2,1,3240,1069,1931,3,100,0,1,0,648000,75000,1
0,0,0,3,1,2200,0,1925,2,100,0,0,0,650000,35000,1
0,0,0,3,1,2620,0,1955,2,100,0,0,0,650000,48000,1
0,0,0,2,1,3000,1500,1965,2,100,0,1,0,650000,150000,1
0,0,0,3,1,3240,0,1931,2,100,0,0,0,650000,45000,1
0,0,0,3,1,3213,0,1931,2,100,0,0,0,650000,60000,1
0,0,0,3,1,2480,0,1925,2,100,0,0,0,650000,50000,1
1,0,0,2,1,2750,0,2002,3,100,0,0,0,650000,35000,1
0,0,0,3,1,2208,0,1901,2,100,0,0,0,650000,30000,1
1,0,1,2,1,2505,0,2000,3,100,0,0,0,650000,54000,0
0,0,0,2,1,2500,200,1990,2,100,0,1,0,650000,96000,1
0,0,0,3,1,3207,0,1910,2,100,0,0,0,650000,36000,1
0,0,0,2,1,2000,0,1900,2,100,0,0,0,650000,65000,1
0,0,0,2,1,2640,0,1925,2,100,0,0,0,650000,100000,1
0,0,0,2,1,2700,0,1920,3,100,0,0,0,650000,100000,1
0,0,0,2,1,2178,1073,1931,3,100,0,1,0,651000,50000,1
0,0,0,3,1,2850,0,1955,2,100,0,0,0,652995,16800,1
1,0,1,2,1,2644,0,1925,2,100,0,0,0,653000,30000,0
0,0,0,3,1,2528,0,1925,2,100,0,0,0,655000,0,1
0,0,0,2,1,3300,0,1940,3,100,0,0,0,660000,50000,1
0,0,0,2,1,3000,0,1925,2,100,0,0,0,660000,30000,1
0,0,0,3,1,2950,0,1930,2,100,0,0,0,663500,75000,1
0,0,0,3,1,3864,0,1970,3,100,0,0,0,665000,15000,1
0,0,0,3,1,3360,0,1905,2,0,0,0,0,672000,0,1
0,0,0,3,1,3000,0,1910,3,100,0,0,0,675000,30000,1
0,0,0,3,1,2853,951,1935,3,100,0,1,0,675000,67500,1
0,0,0,3,1,3150,0,1990,3,100,0,0,0,676000,25000,1
0,0,0,2,1,3400,0,1930,3,100,0,0,0,680000,50000,1
0,0,0,2,1,3326,1663,1958,3,100,0,1,0,680000,100000,1
0,0,1,2,1,2320,0,1930,2,100,0,0,1,680000,72000,0
0,0,0,2,1,2376,0,1940,3,100,0,0,0,683600,72000,1
0,0,0,3,1,2400,0,1930,2,100,0,0,0,684400,30000,1
0,0,0,3,1,2000,0,1910,0,100,0,0,1,685000,12000,1
0,0,1,3,1,4000,0,1930,2,100,0,0,0,688000,85000,0
0,0,0,2,1,3470,570,1931,3,100,0,1,0,694000,0,1
0,0,0,2,1,3420,570,1931,3,100,0,1,0,694000,0,1
0,0,0,2,1,1920,0,1920,2,100,0,0,0,700000,30000,1
1,0,1,3,1,3384,0,1920,2,100,0,0,0,700000,120000,0
0,0,1,3,1,3984,600,1950,2,0,0,1,0,700000,50000,0
0,0,0,2,1,2965,0,1931,3,100,0,0,1,700000,50000,1
0,0,0,3,1,3200,0,1950,2,100,0,0,0,700000,120000,1
0,0,0,2,1,3021,0,1901,3,100,0,0,0,700000,70000,1
0,0,0,2,1,3000,1000,1940,3,100,0,1,0,700000,170000,1
1,0,0,2,1,3120,0,2005,3,100,0,0,0,700000,105000,1
0,0,0,2,1,2672,0,1900,3,100,0,0,0,700000,154790,1
0,0,0,2,1,2634,0,1961,3,100,0,0,0,700000,100000,1
0,0,0,2,1,2503,0,1910,3,100,0,0,0,700000,55000,1
0,0,0,3,1,3000,0,1900,3,100,0,0,1,700000,25000,1
0,0,0,2,1,2640,0,1931,3,100,0,0,0,700000,72000,1
0,0,0,3,1,2380,0,1930,2,100,0,0,0,700000,25000,1
0,0,1,4,4,1900,0,1901,3,0,0,0,0,700000,0,0
0,0,0,2,1,3492,0,1901,2,100,0,0,0,700000,70000,1
0,0,0,2,1,3020,0,1935,2,100,0,0,0,700000,50000,1
0,0,0,3,1,2296,0,1901,2,100,0,0,0,700000,30000,1
0,0,0,2,1,3200,0,1931,2,100,0,0,0,700128,0,1
1,0,0,3,1,3120,0,2005,3,100,0,0,0,703000,140600,1
0,0,1,2,1,3198,0,1930,2,100,0,0,0,703560,120000,0
0,0,0,2,1,2080,0,1925,2,100,0,0,0,709000,38000,1
0,0,0,2,1,3042,0,1901,2,100,0,0,0,713500,60000,1
0,0,0,2,1,2872,0,1930,2,100,0,0,0,715000,150000,1
0,0,0,2,1,4773,0,1930,3,100,0,0,0,715950,82000,1
0,0,0,3,1,2400,0,1970,3,100,0,0,0,718960,30000,1
0,0,0,2,1,3600,0,1919,3,100,0,0,0,720000,50000,1
0,0,0,2,1,3605,0,1988,3,100,0,0,0,721000,25000,1
0,0,0,2,1,3234,1078,1923,3,100,0,1,0,739442,73942,1
0,0,0,2,1,3300,0,1930,3,100,0,0,0,740000,86000,1
0,0,1,2,1,3700,1500,1910,3,100,0,1,1,740000,110000,0
0,0,0,2,1,3200,0,1901,3,100,0,0,0,742000,48000,1
0,0,0,2,1,3200,0,1901,3,100,0,0,0,742000,48000,1
0,0,0,3,1,3200,0,1909,4,100,0,0,1,743000,60000,1
0,0,0,3,1,2800,0,1965,3,100,0,0,0,743000,50000,1
0,0,0,2,1,2429,0,1920,2,100,0,0,0,750000,50000,1
0,0,0,3,1,3048,0,1930,2,100,0,0,0,750000,30000,1
0,0,1,2,1,3840,0,1945,4,100,0,0,0,750000,125000,0
0,0,0,3,1,1966,0,1955,2,100,0,0,0,750000,30000,1
0,0,0,2,1,2550,0,1930,2,100,0,0,0,750000,50000,1
0,0,1,2,1,4020,0,1925,2,100,0,0,0,750000,75000,0
